統計項目,資料期(民國年),統計值(美元),計量單位(美元),統計值(新台幣),計量單位(新台幣)
外銷訂單金額,08712,9992,百萬美元,3227,新臺幣億元
外銷訂單金額,08801,9806,百萬美元,3162,新臺幣億元
外銷訂單金額,08802,8659,百萬美元,2819,新臺幣億元
外銷訂單金額,08803,10553,百萬美元,3494,新臺幣億元
外銷訂單金額,08804,10558,百萬美元,3473,新臺幣億元
外銷訂單金額,08805,10355,百萬美元,3392,新臺幣億元
外銷訂單金額,08806,10502,百萬美元,3411,新臺幣億元
外銷訂單金額,08807,10895,百萬美元,3516,新臺幣億元
外銷訂單金額,08808,10951,百萬美元,3504,新臺幣億元
外銷訂單金額,08809,10739,百萬美元,3415,新臺幣億元
外銷訂單金額,08810,11747,百萬美元,3732,新臺幣億元
外銷訂單金額,08811,11564,百萬美元,3670,新臺幣億元
外銷訂單金額,08812,11140,百萬美元,3522,新臺幣億元
外銷訂單金額,08901,10873,百萬美元,3349,新臺幣億元
外銷訂單金額,08902,9831,百萬美元,3020,新臺幣億元
外銷訂單金額,08903,12645,百萬美元,3882,新臺幣億元
外銷訂單金額,08904,12409,百萬美元,3784,新臺幣億元
外銷訂單金額,08905,13363,百萬美元,4108,新臺幣億元
外銷訂單金額,08906,13928,百萬美元,4291,新臺幣億元
外銷訂單金額,08907,12983,百萬美元,4017,新臺幣億元
外銷訂單金額,08908,13699,百萬美元,4258,新臺幣億元
外銷訂單金額,08909,14323,百萬美元,4468,新臺幣億元
外銷訂單金額,08910,13663,百萬美元,4349,新臺幣億元
外銷訂單金額,08911,13269,百萬美元,4302,新臺幣億元
外銷訂單金額,08912,12446,百萬美元,4118,新臺幣億元
外銷訂單金額,09001,10368,百萬美元,3389,新臺幣億元
外銷訂單金額,09002,10706,百萬美元,3460,新臺幣億元
外銷訂單金額,09003,12503,百萬美元,4074,新臺幣億元
外銷訂單金額,09004,11587,百萬美元,3814,新臺幣億元
外銷訂單金額,09005,11498,百萬美元,3823,新臺幣億元
外銷訂單金額,09006,11153,百萬美元,3822,新臺幣億元
